date,product,category,region,sales,quantity,profit,discount,customer_age,customer_satisfaction
2023-01-01,Laptop Pro,Electronics,North,1299.99,2,389.99,0.05,34,4.5
2023-01-02,Wireless Mouse,Electronics,South,29.99,15,9.99,0.1,28,4.2
2023-01-03,Office Chair,Furniture,East,499.99,3,149.99,0.0,45,4.8
2023-01-04,USB-C Hub,Electronics,West,49.99,8,14.99,0.05,31,4.0
2023-01-05,Standing Desk,Furniture,North,799.99,1,239.99,0.0,52,4.7
2023-01-06,Mechanical Keyboard,Electronics,South,149.99,5,44.99,0.1,27,4.3
2023-01-07,Monitor 27inch,Electronics,East,399.99,4,119.99,0.0,38,4.6
2023-01-08,Webcam HD,Electronics,West,89.99,7,26.99,0.05,29,3.9
2023-01-09,Desk Lamp,Furniture,North,39.99,12,11.99,0.0,41,4.1
2023-01-10,Headphones Pro,Electronics,South,249.99,6,74.99,0.1,35,4.4
2023-01-11,Laptop Stand,Accessories,East,79.99,9,23.99,0.0,33,4.2
2023-01-12,Phone Charger,Electronics,West,19.99,20,5.99,0.05,26,3.8
2023-01-13,Ergonomic Mouse,Electronics,North,69.99,11,20.99,0.0,47,4.5
2023-01-14,Notebook A5,Stationery,South,9.99,30,2.99,0.0,22,3.7
2023-01-15,Laptop Pro,Electronics,East,1299.99,3,389.99,0.05,36,4.6
2023-01-16,Wireless Keyboard,Electronics,West,99.99,6,29.99,0.1,30,4.3
2023-01-17,Filing Cabinet,Furniture,North,299.99,2,89.99,0.0,55,4.9
2023-01-18,Mousepad XL,Accessories,South,24.99,14,7.49,0.0,28,4.0
2023-01-19,USB Hub,Electronics,East,34.99,10,10.49,0.05,32,4.1
2023-01-20,Monitor 32inch,Electronics,West,599.99,2,179.99,0.0,44,4.7
2023-01-21,Laptop Pro,Electronics,North,1299.99,1,389.99,0.0,39,4.5
2023-01-22,Tablet Stand,Accessories,South,44.99,8,13.49,0.05,31,4.2
2023-01-23,Printer Laser,Electronics,East,349.99,3,104.99,0.1,50,4.4
2023-01-24,Paper Ream,Stationery,West,12.99,25,3.89,0.0,25,3.6
2023-01-25,Cable Manager,Accessories,North,14.99,18,4.49,0.0,37,4.0
2023-01-26,SSD 1TB,Electronics,South,129.99,7,38.99,0.05,29,4.5
2023-01-27,RAM 16GB,Electronics,East,69.99,10,20.99,0.0,33,4.3
2023-01-28,Laptop Bag,Accessories,West,59.99,9,17.99,0.1,28,4.1
2023-01-29,Office Chair,Furniture,North,499.99,2,149.99,0.0,48,4.8
2023-01-30,Laptop Pro,Electronics,South,1299.99,4,389.99,0.05,40,4.6
2023-02-01,Wireless Earbuds,Electronics,East,149.99,8,44.99,0.0,26,4.4
2023-02-02,Smart Speaker,Electronics,West,99.99,5,29.99,0.1,35,4.2
2023-02-03,Tablet 10inch,Electronics,North,449.99,3,134.99,0.0,42,4.7
2023-02-04,Phone Case,Accessories,South,14.99,22,4.49,0.05,27,3.9
2023-02-05,Laptop Charger,Electronics,East,79.99,6,23.99,0.0,31,4.1
2023-02-06,Desk Organizer,Accessories,West,34.99,13,10.49,0.0,44,4.3
2023-02-07,Monitor 24inch,Electronics,North,299.99,4,89.99,0.05,38,4.5
2023-02-08,Keyboard Cover,Accessories,South,12.99,20,3.89,0.0,29,3.8
2023-02-09,USB-C Cable,Electronics,East,15.99,30,4.79,0.1,25,3.7
2023-02-10,Graphics Card,Electronics,West,699.99,2,209.99,0.0,32,4.8
2023-02-11,CPU Cooler,Electronics,North,59.99,7,17.99,0.05,36,4.4
2023-02-12,Motherboard,Electronics,South,299.99,3,89.99,0.0,41,4.6
2023-02-13,Power Supply,Electronics,East,89.99,5,26.99,0.1,33,4.3
2023-02-14,PC Case,Electronics,West,129.99,4,38.99,0.0,28,4.2
2023-02-15,Laptop Pro,Electronics,North,1299.99,5,389.99,0.05,45,4.7
2023-02-16,Smart Watch,Electronics,South,299.99,6,89.99,0.0,30,4.5
2023-02-17,Fitness Tracker,Electronics,East,99.99,9,29.99,0.1,27,4.1
2023-02-18,Wireless Charger,Electronics,West,39.99,12,11.99,0.0,34,4.0
2023-02-19,Phone Stand,Accessories,North,19.99,16,5.99,0.05,29,3.9
2023-02-20,Laptop Pro,Electronics,South,1299.99,2,389.99,0.0,38,4.6
